"Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Physics","Measurements, Units & Vectors","A student measures the diameter of a wire using a micrometer screw gauge and records 2.35 mm. The pitch of the screw gauge is 0.5 mm and has 50 divisions. What is the least count of this instrument?","0.01 mm","0.05 mm","0.5 mm","0.001 mm","A","Correct: Least count = Pitch / Number of divisions = 0.5 mm / 50 = 0.01 mm, the smallest measurement the micrometer can accurately make. B is wrong because 0.05 mm comes from dividing the pitch by 10, not 50. C is wrong because 0.5 mm is just the pitch itself, not the least count. D is wrong because 0.001 mm is too small a value for a standard micrometer's least count."
"Physics","Measurements, Units & Vectors","Which of the following is a fundamental (base) physical quantity?","Velocity","Force","Electric current","Pressure","C","Correct: Electric current (measured in Amperes) is one of the seven SI fundamental/base quantities. A is wrong because velocity = displacement/time, making it a derived quantity from length and time. B is wrong because force = mass × acceleration, a derived quantity. D is wrong because pressure = force/area, also derived."
"Physics","Measurements, Units & Vectors","The dimension of pressure is","ML⁻¹T⁻²","MLT⁻²","ML²T⁻²","ML⁻²T⁻¹","A","Correct: Pressure = Force/Area = (kg·m/s²)/m² = kg·m⁻¹·s⁻² = ML⁻¹T⁻². B is wrong because MLT⁻² is the dimension of force, not pressure. C is wrong because ML²T⁻² is the dimension of energy/work. D is wrong because ML⁻²T⁻¹ does not correspond to any standard physical quantity."
"Physics","Measurements, Units & Vectors","A measurement is recorded as 0.00340 m. How many significant figures does this value contain?","6","5","3","2","C","Correct: In 0.00340, the leading zeros (0.00) are not significant, but the digits 3, 4, and the trailing zero after the decimal are significant, giving 3 significant figures. A and B are wrong because they incorrectly count the leading zeros as significant. D is wrong because it fails to count the trailing zero after the decimal point, which IS significant."
"Physics","Measurements, Units & Vectors","Using the equation v = u + at, if [v] = LT⁻¹, [u] = LT⁻¹, [a] = LT⁻², what does the dimensional check reveal?","The equation is not homogeneous","The equation is dimensionally correct","The time term has wrong dimension","Acceleration dimension is incorrect","B","Correct: Checking both sides: LT⁻¹ = LT⁻¹ + (LT⁻²)(T) = LT⁻¹ + LT⁻¹, so both sides have dimension LT⁻¹, confirming the equation is homogeneous and dimensionally correct. A is wrong because the equation IS homogeneous, both sides balance. C is wrong because the time term [at] = LT⁻²·T = LT⁻¹, which matches correctly. D is wrong because acceleration's dimension LT⁻² is in fact correct."
"Physics","Measurements, Units & Vectors","A Vernier caliper has a main scale reading of 2.3 cm and a Vernier scale reading of 7. If the least count is 0.01 cm, what is the correct measurement?","2.37 cm","2.07 cm","2.30 cm","2.73 cm","A","Correct: Total reading = Main scale + (Vernier division × Least count) = 2.3 + (7 × 0.01) = 2.3 + 0.07 = 2.37 cm. B is wrong because it incorrectly subtracts instead of adding. C is wrong because it ignores the Vernier reading entirely. D is wrong because it's an incorrect combination of the digits."
"Physics","Measurements, Units & Vectors","Which combination correctly represents the unit of the gravitational constant G?","Nm²kg⁻²","Nkg⁻²","Nm⁻²kg²","Nkg²m⁻¹","A","Correct: From F = Gm₁m₂/r², rearranging gives G = Fr²/(m₁m₂) = N·m²/kg² = Nm²kg⁻², the standard SI unit for G. B is wrong because it's missing the m² term entirely. C is wrong because it would imply G increases with mass rather than decreasing with it. D is wrong because it places kg in the numerator, the opposite of what the equation requires."
"Physics","Measurements, Units & Vectors","A student records the length of a table as 120.0 cm using a metre rule. The percentage error in this measurement is","0.083%","0.83%","8.3%","0.0083%","A","Correct: The smallest division of a metre rule is 1 mm = 0.1 cm. Percentage error = (0.1/120.0) × 100 = 0.083%. B is wrong as it corresponds to an error of about 1 mm in 12 cm, not 120 cm. C is wrong as it corresponds to an error of roughly 10 cm, far too large. D is wrong as it's unrealistically small for a metre rule's precision."
"Physics","Scalars and Vectors","Two forces of 3 N and 4 N act at right angles to each other. What is the magnitude of their resultant?","7 N","5 N","1 N","3.5 N","B","Correct: For perpendicular vectors, resultant R = √(3² + 4²) = √(9 + 16) = √25 = 5 N, a classic 3-4-5 Pythagorean triple. A is wrong because 7 N is just the scalar sum, only valid when forces act in the same direction. C is wrong because 1 N is the scalar difference, only valid for opposite directions. D is wrong because 3.5 N has no basis in proper vector calculation."
"Physics","Scalars and Vectors","A velocity of 10 ms⁻¹ is directed at 30° to the horizontal. The vertical component of this velocity is","8.66 ms⁻¹","5.0 ms⁻¹","10 ms⁻¹","17.3 ms⁻¹","B","Correct: Vertical component = v sin θ = 10 × sin 30° = 10 × 0.5 = 5.0 ms⁻¹. A is wrong because 8.66 ms⁻¹ = 10 cos 30°, which is the horizontal component, not vertical. C is wrong because 10 ms⁻¹ is the full velocity magnitude, not a component. D is wrong because 17.3 ms⁻¹ exceeds the original velocity, which is impossible for any component."
