"Question Number","Section","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"1","Section A: Variety of Organisms","Characteristics of Living Things","Which of the following is NOT a characteristic that distinguishes living from non-living things?","Irritability","Movement","Crystalline structure","Metabolism","C","Crystalline structure is a property of certain non-living materials (e.g. table salt, minerals). All living things respond to stimuli (irritability), can move in some form, and carry out metabolism. Crystalline arrangement is absent in living cells.","A: Irritability (response to stimuli) is a hallmark of living things. B: Movement, even if internal, is a characteristic of life. D: Metabolism — the sum of all chemical reactions — defines living organisms."
"2","Section A: Variety of Organisms","Cell Organelles","The cell organelle responsible for the synthesis of proteins in both plant and animal cells is the","Golgi apparatus","ribosome","endoplasmic reticulum","mitochondrion","B","Ribosomes are the site of protein synthesis in all living cells — both prokaryotic and eukaryotic. They translate mRNA into polypeptide chains using amino acids.","A: Golgi apparatus packages and modifies proteins after synthesis; it does not synthesise them. C: The rough endoplasmic reticulum carries ribosomes but the synthesis occurs on the ribosomes themselves. D: Mitochondria produce ATP through respiration."
"3","Section A: Variety of Organisms","Cell Structure","A student observes a cell with a large permanent vacuole, a cellulose cell wall, and chloroplasts. The cell is most likely from","a bacterium","a fungus","a green plant","an animal","C","The combination of a large permanent vacuole, cellulose cell wall, and chloroplasts is unique to green plant cells. Chloroplasts contain chlorophyll for photosynthesis.","A: Bacteria are prokaryotes — no membrane-bound organelles or chloroplasts. B: Fungi have cell walls made of chitin, not cellulose, and lack chloroplasts. D: Animal cells lack cell walls, large vacuoles, and chloroplasts."
"4","Section A: Variety of Organisms","Levels of Organisation","Which level of organisation is represented by the human stomach?","Cell","Tissue","Organ","Organism","C","An organ is a group of different tissues working together to perform a specific function. The stomach contains epithelial, muscular, and glandular tissues, making it an organ.","A: A cell is the basic unit of life. B: A tissue is a group of similar cells performing the same function. D: An organism is the complete individual."
"5","Section A: Variety of Organisms","Cell Organelles","The powerhouse of the cell, responsible for the production of ATP via aerobic respiration, is the","nucleus","chloroplast","mitochondrion","lysosome","C","Mitochondria carry out aerobic respiration producing ATP. They contain the enzymes for the Krebs cycle and electron transport chain.","A: The nucleus contains DNA and controls cell activities but does not produce ATP. B: Chloroplasts capture light energy for photosynthesis in plant cells. D: Lysosomes contain digestive enzymes for intracellular digestion."
"6","Section A: Variety of Organisms","Cell Organelles","In a plant cell, the organelle that maintains turgor pressure and helps in osmoregulation is the","chloroplast","central vacuole","cell wall","ribosome","B","The large central vacuole in plant cells is filled with cell sap and maintains turgor pressure. Water entry into the vacuole by osmosis pushes the cytoplasm against the cell wall, maintaining rigidity.","A: Chloroplasts are for photosynthesis, not osmoregulation. C: The cell wall provides structural support and limits swelling but does not actively regulate water. D: Ribosomes synthesise proteins."
"7","Section A: Variety of Organisms","Levels of Organisation","Which of the following correctly represents the hierarchy of biological organisation from the simplest to the most complex?","Cell → organism → tissue → organ → system","Cell → tissue → organ → system → organism","Tissue → cell → organ → system → organism","Organ → system → tissue → cell → organism","B","The correct sequence from simplest to most complex is: Cell → Tissue → Organ → System → Organism. Each level is built from the one below it.","A: Organism is the most complex, not second. C: Tissue cannot be simpler than cell. D: This is in reverse."
"8","Section A: Variety of Organisms","Cell Organelles","The control centre of a cell, containing the genetic material (DNA), is the","nucleolus","mitochondrion","nucleus","centrosome","C","The nucleus is the membrane-bound organelle that contains the chromosomes (DNA) and controls cellular activities. It is the 'control centre' of eukaryotic cells.","A: The nucleolus is found within the nucleus and is responsible for producing rRNA. B: Mitochondria produce energy. D: Centrosomes are involved in cell division."
"9","Section A: Variety of Organisms","Cell Structure","Which of the following structures is found in animal cells but NOT in plant cells?","Cell membrane","Mitochondrion","Centriole","Ribosome","C","Centrioles are found in animal cells and lower plants (algae, mosses) but are absent in higher plant cells. They play a role in forming the spindle fibres during cell division.","A: Cell membrane is present in both plant and animal cells. B: Mitochondria are present in both. D: Ribosomes are universal in all living cells."
"10","Section A: Variety of Organisms","Levels of Organisation","Hydra is used as an example of organisation at the tissue level because","it is a single-celled organism","it contains cells organised into layers performing distinct functions","its cells are all identical and perform the same role","it has a well-developed digestive system with organs","B","Hydra has two layers of cells (ectoderm and endoderm) — groups of similar cells performing specific functions — which defines the tissue level of organisation.","A: Hydra is multicellular, not unicellular. C: Its cells are differentiated into different types. D: Hydra does not have discrete organs; it is at the tissue level."
"11","Section A: Variety of Organisms","Classification - Monera","Blue-green algae are classified under Monera because they","carry out photosynthesis using chlorophyll","lack a membrane-bound nucleus","reproduce sexually by conjugation","have cellulose cell walls","B","Monera (prokaryotes) are defined by the absence of a membrane-bound nucleus. Blue-green algae (Cyanobacteria) are prokaryotes — their genetic material is not enclosed in a nuclear membrane.","A: Photosynthesis alone does not define Monera. C: Blue-green algae reproduce asexually. D: Prokaryotes have cell walls of peptidoglycan, not cellulose."
"12","Section A: Variety of Organisms","Classification - Protista","Euglena is classified as a Protist because it","is prokaryotic and photosynthetic","is unicellular and eukaryotic","has flagella and reproduces by budding","lacks a cell membrane","B","Protists are unicellular eukaryotic organisms. Euglena is unicellular, has a membrane-bound nucleus, and exhibits both plant-like (photosynthesis) and animal-like (motility) characteristics.","A: Euglena is eukaryotic, not prokaryotic. C: Euglena reproduces by binary fission, not budding. D: Euglena has a cell membrane."
