"Question Number","Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"1","Use of English","Comprehension & Summary","In comprehension passages, the MAIN purpose of identifying a 'topic sentence' is to _____.","determine the background of the writer","locate the central idea of a paragraph","identify the conclusion of the passage","find all supporting details in a passage","B","A topic sentence states the central idea of a paragraph. It is usually the first or last sentence. JAMB often asks candidates to identify it because it carries the paragraph's controlling idea.","A: Background information refers to context, not the topic sentence's function. C: Conclusions deal with the whole passage or paragraph's ending, not the topic sentence per se. D: Supporting details expand on the topic sentence; they are not the same as it."
"2","Use of English","Comprehension & Summary","When a writer makes a statement that is NOT explicitly stated but can be reasoned from available clues, the reader is expected to _____.","summarise the passage","identify figures of speech","make an inference","paraphrase the writer","C","An inference is a conclusion drawn from evidence and reasoning rather than from direct statement. JAMB regularly tests 'implied meaning' through inference questions.","A: Summarising condenses information; it does not draw hidden meanings. B: Identifying figures of speech is a stylistic task, not a reasoning process. D: Paraphrasing restates a text in different words; it does not extract hidden meaning."
"3","Use of English","Comprehension & Summary","A 'cloze test' as used in JAMB is designed primarily to test a candidate's ability to _____.","memorise vocabulary lists","identify figures of speech within texts","understand context and supply appropriate words","distinguish between synonyms and antonyms","C","In a cloze test, words are removed from a passage and the candidate must fill gaps using contextual understanding and grammar knowledge. It tests reading comprehension, vocabulary in context, and coherence.","A: Memorising lists is not tested by a cloze format. B: Figures of speech are tested in comprehension, not specifically through cloze. D: Synonyms and antonyms are tested in Lexis and Structure, not primarily the cloze."
"4","Use of English","Comprehension & Summary","Read the sentence: 'Despite the torrential rain, the farmer ploughed on.' The underlined phrase 'ploughed on' is best interpreted as _____.","worked on his farm","continued with determination","moved through the rain","cleared the field quickly","B","'Ploughed on' is an idiomatic expression meaning to continue doing something despite difficulties. The context of 'despite the torrential rain' confirms the idea of persistence.","A: 'Worked on his farm' is too literal; the idiom indicates determination, not agricultural activity. C: 'Moved through the rain' is a physical interpretation, not the idiomatic meaning. D: 'Cleared the field quickly' contradicts the tone of difficulty implied by 'despite'."
"5","Use of English","Comprehension & Summary","Which of the following BEST describes 'synthesis of ideas' as tested in JAMB comprehension?","The ability to memorise all the facts in a passage","The ability to translate a passage into another language","The act of combining separate pieces of information to form a complete whole","The ability to identify grammatical errors in a passage","C","The JAMB syllabus explicitly defines synthesis as 'the art of combining distinct or separate pieces of information to form a complete whole as summary.' This is the exact definition JAMB tests.","A: Memorisation is not synthesis; synthesis requires active reconstruction of meaning. B: Translation is not comprehension synthesis. D: Identifying errors is a grammar task, not synthesis."
"6","Use of English","Comprehension & Summary","In a comprehension passage, 'coherence' refers to _____.","the use of difficult vocabulary","the logical flow and connection of ideas","the length and complexity of paragraphs","the number of arguments presented","B","Coherence in a passage means that ideas are logically connected and flow smoothly from one to another. JAMB tests 'coherence and logical reasoning' under comprehension objectives.","A: Vocabulary difficulty is separate from logical coherence. C: Length does not determine coherence. D: The number of arguments is irrelevant to coherence."
"7","Use of English","Comprehension & Summary","A JAMB passage ends with the sentence: 'All these considered, the government must act now.' This sentence most likely serves as _____.","a topic sentence introducing a new idea","a transitional sentence","a concluding sentence that synthesises the argument","a rhetorical question","C","The phrase 'All these considered' shows that the writer is wrapping up by drawing together the points already made. This is a summary-conclusion function, which JAMB links to synthesis and logical reasoning.","A: A topic sentence introduces, not concludes; this sentence clearly closes the argument. B: Transitional sentences link ideas mid-passage; this sentence finalises an argument. D: A rhetorical question ends with a question mark; this is a declarative statement."
"8","Use of English","Comprehension & Summary","In the sentence 'The director, along with his aides, was present at the function,' the mood conveyed is _____.","urgency and desperation","formality and officiousness","casual and informal atmosphere","conflict and tension","B","The diction ('director', 'aides', 'function') signals a formal, official setting. JAMB tests 'writer's mood' and this sentence communicates an official/formal occasion.","A: There is no urgency or desperation in the statement. C: The vocabulary is clearly formal, not casual. D: No conflict or tension is conveyed."
"9","Use of English","Comprehension & Summary","The writer of a passage states: 'One cannot but wonder at the audacity of these officials.' The writer's ATTITUDE toward the officials is _____.","admiration","indifference","disapproval","sympathy","C","'Audacity' used in this context implies brazenness or recklessness. The construction 'one cannot but wonder' expresses incredulous disapproval. JAMB tests attitude and tone regularly.","A: 'Audacity' here is not used positively; it implies condemnation. B: The writer is clearly not indifferent — the emotive language shows strong feeling. D: Sympathy would require positive or understanding language, not incredulous condemnation."
"10","Use of English","Comprehension & Summary","Which description BEST defines an 'expository' type of passage?","A passage that tells a story with characters and events","A passage that presents and explains facts and information","A passage that tries to convince the reader to accept an opinion","A passage that paints a vivid picture of a scene","B","Exposition presents factual information, explains concepts, or informs. JAMB tests four passage types: description, narration, exposition, and argumentation/persuasion.","A: That describes narration. C: That describes argumentation/persuasion. D: That describes description."
"11","Use of English","Comprehension & Summary","From the context: 'The old man was garrulous; he never stopped talking from morning till night.' The word 'garrulous' means _____.","tired and exhausted","excessively talkative","quarrelsome and aggressive","secretive and reserved","B","The context clause 'he never stopped talking from morning till night' directly defines 'garrulous.' JAMB always provides context clues in comprehension vocabulary questions.","A: Tiredness is unrelated to talking. C: Quarrelsome is unrelated to the context of endless talking. D: 'Secretive and reserved' is the opposite of garrulous."
"12","Use of English","Comprehension & Summary","Which of the following is an example of an ARGUMENTATIVE passage?","A narrative about a village boy who became a professor","A description of the landmarks of Lagos city","An explanation of how photosynthesis works in plants","A text claiming that corporal punishment should be abolished in schools","D","Argumentation/persuasion presents a stance on an issue and tries to convince the reader. Option D makes a claim and implies a call for action — the hallmark of argumentation.","A: That is narration. B: That is description. C: That is exposition."
"13","Use of English","The Lekki Headmaster (Novel)","In The Lekki Headmaster, Mr. Bepo Adewale served as principal of which school?","Beesway Group of Schools","Fruitful Future School","Stardom Schools, Lekki","Lagos State Model School","C","Mr. Bepo Adewale is the principal of Stardom Schools in Lekki, Lagos. This is the primary setting of the novel. He had previously been at Beesway and helped found Fruitful Future.","A: Beesway was a previous employer where he witnessed ritual activities. B: Fruitful Future was a neighbourhood school Bepo co-founded earlier in his career. D: Lagos State Model School does not appear in the novel."
"14","Use of English","The Lekki Headmaster (Novel)","In Chapter 1 ('Dusk'), Bepo's unusual behaviour at the school assembly was that he _____.","resigned publicly in front of students","announced his travel plans","broke down crying at the podium","quarrelled with the Vice Principal","C","Chapter 1 opens with Bepo approaching the podium but breaking into tears instead of speaking. This shocking emotional breakdown sets the entire novel's tension in motion.","A: He did not resign publicly in Chapter 1. B: He did not announce his plans; he stayed silent about the reason for his distress. D: There was no quarrel with the Vice Principal in Chapter 1."
"15","Use of English","The Lekki Headmaster (Novel)","The nickname 'The Lekki Headmaster' was given to Bepo because he _____.","lived in Lekki all his life","founded a school in Lekki","humorously imitated characters from the TV drama Village Headmaster","was the most feared headmaster in Lekki","C","The nickname originated from Bepo's habit of mimicking characters from the old Nigerian TV show 'Village Headmaster' during his time at Stardom Kiddies. His colleagues adopted it affectionately.","A: Living in Lekki is not the origin of the nickname. B: He did not found the main school; he was employed as principal. D: 'Most feared' does not feature in the origin of the nickname."
"16","Use of English","The Lekki Headmaster (Novel)","In Chapter 5 ('Snake in the Roof'), the phrase 'hanging a snake in the roof' was used by the MD's mother to describe _____.","the danger of keeping exotic pets in school","the cooperative society's wealth as a potential threat","the risk of hiring dishonest staff","the illegal activities of staff members","B","Chief Mrs. Solape Bayo used this metaphor to caution that the school cooperative's accumulated ₦95 million and loans were like a 'snake in the roof' — dangerous wealth that could cause harm if mismanaged.","A: No exotic pets feature in this chapter. C: Dishonest hiring is not the subject of this chapter. D: While cars were hidden, the metaphor refers specifically to the cooperative's financial wealth."
"17","Use of English","The Lekki Headmaster (Novel)","In Chapter 6, the grammar controversy was about the sentence _____.","'He and she comes to school everyday'","'The staff of the school are hardworking'","'Ade as well as Jide comes early'","'Neither the boys nor the girl were present'","C","Mr. Guta, a parent, was furious about the sentence 'Ade as well as Jide comes early' written in his son's notebook by Mr. Fafore. Bepo defended the correctness of the singular verb 'comes' when 'as well as' is used.","A: This sentence does not appear in the novel. B: This is a different grammar rule (collective noun agreement). D: This involves 'neither...nor' concord, which is a different topic."
"18","Use of English","The Lekki Headmaster (Novel)","Bepo's CORRECT grammatical explanation in Chapter 6 was that with the connective 'as well as', the verb _____.","must be plural to agree with two subjects","agrees with the first subject in the sentence","can be either singular or plural","takes a plural form when subjects are joined","B","Bepo explained that when 'as well as', 'together with', or 'alongside' is used, the verb agrees with the main subject (the first noun), not the additional noun. So 'Ade as well as Jide comes' is grammatically correct because 'Ade' is the main subject.","A: Plural agreement applies to 'and', not 'as well as'. C: It is not a matter of choice; there is a definite rule. D: 'As well as' does not trigger plural agreement."
