Subject,Topic,Q#,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Why Other Options Are Wrong
Chemistry,Separation of Mixtures,1,Which separation technique is most appropriate for separating a mixture of iodine and sand?,Filtration,Sublimation,Distillation,Decantation,B,"Iodine sublimes (converts directly from solid to vapour) when heated, leaving the sand behind. This makes sublimation the correct technique for this mixture.","A: Filtration separates insoluble solid from liquid, not two solids. C: Distillation separates liquids based on boiling point differences. D: Decantation pours off a liquid from a settled solid."
Chemistry,Separation of Mixtures,2,The boiling point of a substance is used as a criterion for purity because,impure substances have higher boiling points than pure ones,"a pure substance boils at a sharp, constant temperature",all mixtures boil at exactly 100°C,impure substances do not boil at all,B,"A pure substance has a definite, sharp boiling point. The presence of impurities causes boiling point elevation and the substance boils over a range of temperatures rather than at a single point.","A: Impurities generally elevate the boiling point but the substance no longer boils sharply. C: Only pure water boils at 100°C; this is not true for all mixtures. D: Impure substances still boil, just over a range."
Chemistry,Separation of Mixtures,3,Fractional distillation differs from simple distillation in that it,uses higher temperatures,separates liquids with widely different boiling points,separates liquids with close boiling points using a fractionating column,is used to purify solids,C,"Fractional distillation uses a fractionating column packed with glass beads or plates, allowing separation of liquids whose boiling points are close together (e.g., within 25°C of each other). Simple distillation is used when boiling points differ widely.","A: Temperature is controlled by the component being separated, not arbitrarily higher. B: Simple distillation is used when boiling points differ widely. D: Solids are purified by recrystallization."
Chemistry,Separation of Mixtures,4,"In paper chromatography, the component that travels the greatest distance from the baseline is the one that",has the highest solubility in the stationary phase,has the strongest affinity for the stationary phase,has the greatest affinity for the mobile phase,has the highest molecular mass,C,"In chromatography, the Rf value is higher for components that prefer the mobile phase over the stationary phase. Greater affinity for the mobile phase means the component is carried further up the paper.",B: High affinity for the stationary phase causes the component to stay near the baseline (low Rf). D: Molecular mass alone does not determine travel distance; solubility in phases does.
Chemistry,Separation of Mixtures,5,Which of the following pairs can be separated by the process of magnetization?,Salt and water,Iron filings and sulphur powder,Alcohol and water,Sand and gravel,B,"Iron is a magnetic material. When a magnet is passed over a mixture of iron filings and sulphur powder, the iron filings are attracted and removed, leaving the sulphur behind.",A: Salt dissolves in water; evaporation is used. C: Alcohol and water have close boiling points; fractional distillation is used. D: Sand and gravel can be separated by sieving.
Chemistry,Separation of Mixtures,6,The process used to separate a dissolved solid from its solution by cooling a hot saturated solution is called,evaporation,sublimation,crystallization,filtration,C,"Crystallization involves dissolving a solid in a hot solvent to form a saturated solution, then cooling it slowly. As the solution cools, the solid's solubility decreases and it crystallizes out of solution.","A: Evaporation removes solvent by heating, leaving the solid, but may decompose heat-sensitive compounds and gives impure product. B: Sublimation is for solids that vaporize directly. D: Filtration separates insoluble solids from liquids."
Chemistry,Separation of Mixtures,7,A mixture of petrol and water can be separated by,Filtration,Chromatography,Use of a separating funnel,Distillation,C,"Petrol and water are immiscible liquids — they form two distinct layers. A separating funnel allows the denser layer (water) to be run off first through the tap, separating the two liquids.",A: Filtration is for solid-liquid separation. B: Chromatography separates components in solution. D: Distillation would work but is more complex; separating funnel is the standard method for immiscible liquids.
Chemistry,Separation of Mixtures,8,Which of the following is NOT a criterion used to establish the purity of a substance?,Sharp melting point,Colour of the substance,Sharp boiling point,Melting point that agrees with the literature value,B,Purity is established by sharp melting and boiling points at specific literature values. Colour can vary among pure substances and is not a reliable criterion for purity.,A: A pure solid melts sharply at a definite temperature. C: A pure liquid boils sharply at a definite temperature. D: Comparison with accepted literature values confirms purity.
Chemistry,Separation of Mixtures,9,The Rf value of a substance in chromatography is calculated as,distance moved by solvent / distance moved by spot,distance moved by spot / distance moved by solvent,distance moved by spot × distance moved by solvent,distance of baseline / distance moved by solvent,B,Rf = (distance moved by component/solute spot) ÷ (distance moved by solvent front). This ratio is always between 0 and 1 and is characteristic of the compound under specific conditions.,A: This is the inverse of Rf. C: This product has no physical meaning. D: Baseline is the starting point; this formula is incorrect.
Chemistry,Separation of Mixtures,10,"When a mixture of common salt and water is heated gently until all the water evaporates, the process is called",Distillation,Filtration,Evaporation to dryness,Crystallization,C,"Evaporation to dryness removes all the solvent (water) by heating, leaving the dissolved solid (salt) behind. This is different from crystallization where controlled cooling is involved.",A: Distillation collects the evaporated liquid (distillate). B: Filtration separates insoluble solids. D: Crystallization uses controlled cooling of a saturated solution.
Chemistry,Separation of Mixtures,11,Which of the following statements correctly distinguishes between a compound and a mixture?,"A compound contains only one element, while a mixture contains two or more elements","The components of a mixture retain their individual properties, while those of a compound do not","A mixture has a fixed composition, while a compound does not","A compound can be separated by physical means, while a mixture cannot",B,"In a mixture, each component retains its own physical and chemical properties. In a compound, the constituent elements combine chemically and their individual properties are replaced by the compound's own unique properties.","A: A compound contains elements in fixed ratio; both compounds and mixtures can contain multiple elements. C: This is reversed — compounds have fixed compositions, mixtures do not. D: This is reversed — mixtures can be separated physically; compounds require chemical means."
Chemistry,Separation of Mixtures,12,Column chromatography is preferred over paper chromatography for industrial separation because it,uses cheaper materials,can handle larger quantities of mixture,does not require a mobile phase,separates based on melting point,B,"Column chromatography uses a column packed with a stationary phase (e.g., silica gel or alumina) and can process much larger quantities of material, making it suitable for industrial-scale purification.","A: Column chromatography is generally more expensive due to column packing material. C: Both techniques require a mobile phase. D: Chromatography separates based on differential affinity, not melting point."
Chemistry,Chemical Combination,13,"According to the law of conservation of matter, in the reaction: 2H2 + O2 → 2H2O, if 4g of hydrogen reacts with 32g of oxygen, the mass of water produced is",28g,36g,32g,18g,B,Law of conservation of mass: total mass of reactants = total mass of products. 4g H2 + 32g O2 = 36g H2O. Nothing is lost.,"A: 28g would mean 8g is lost — this violates conservation of mass. C: 32g ignores the mass of hydrogen. D: 18g is the molar mass of one mole of water, not the total product here."
Chemistry,Chemical Combination,14,The law of multiple proportions applies to which of the following pairs?,NaCl and KCl,H2O and NaCl,CO and CO2,HCl and NaOH,C,"The law of multiple proportions states that when two elements (here C and O) combine to form more than one compound (CO and CO2), the masses of one element (O) that combine with a fixed mass of the other (C) are in a simple whole number ratio. In CO: ratio is 1:1; in CO2: ratio is 1:2.",A: NaCl and KCl involve different elements (Na and K). B: H2O and NaCl have no common pair of combining elements. D: HCl and NaOH do not demonstrate multiple proportions.
Chemistry,Chemical Combination,15,Avogadro's number (6.02 × 10^23) represents the number of,atoms in 1g of any element,molecules in 1dm3 of any gas at s.t.p.,particles in one mole of any substance,electrons in one mole of any compound,C,"Avogadro's number (6.02 × 10^23) is the number of elementary particles (atoms, molecules, ions, or formula units) in exactly one mole of any substance.","A: 1g of different elements contains different numbers of atoms depending on their molar mass. B: 1 mole of gas at STP occupies 22.4dm3, not 1dm3. D: The number of electrons per mole varies by compound."
Chemistry,Chemical Combination,16,How many moles of atoms are contained in 27g of aluminium? (Al = 27),0.5 mol,2 mol,1 mol,27 mol,C,"Moles = mass ÷ molar mass = 27g ÷ 27g/mol = 1 mol. The molar mass of Al is 27g/mol, so 27g contains exactly 1 mole of Al atoms.",A: 0.5 mol would correspond to 13.5g. B: 2 mol would be 54g. D: 27 mol would require 729g.
Chemistry,Chemical Combination,17,Gay-Lussac's law of combining volumes states that,equal volumes of all gases contain equal numbers of molecules at the same conditions,"at constant temperature and pressure, gases react in volumes that are in simple whole-number ratios",the volume of a gas is inversely proportional to its pressure at constant temperature,the total pressure of a gas mixture equals the sum of partial pressures,B,"Gay-Lussac's law states that when gases react, the volumes of the reactants and products (measured at the same temperature and pressure) are in simple whole-number ratios. For example: H2 + Cl2 → 2HCl (1:1:2 ratio by volume).",A: This is Avogadro's law. C: This is Boyle's law. D: This is Dalton's law of partial pressures.
Chemistry,Chemical Combination,18,The empirical formula of a compound is CH2O and its relative molecular mass is 180. The molecular formula is,CH2O,C2H4O2,C6H12O6,C3H6O3,C,"Empirical formula mass of CH2O = 12+2+16 = 30. n = 180/30 = 6. Molecular formula = (CH2O)6 = C6H12O6, which is glucose.","A: Molecular mass of CH2O = 30, not 180. B: C2H4O2 has mass 60, not 180. D: C3H6O3 has mass 90, not 180."
Chemistry,Chemical Combination,19,"In the reaction N2 + 3H2 → 2NH3, how many moles of NH3 are produced when 2 moles of N2 reacts completely?",2 mol,3 mol,4 mol,6 mol,C,"From the equation, 1 mol N2 produces 2 mol NH3. Therefore 2 mol N2 produces 2 × 2 = 4 mol NH3.",A: 2 mol would be the ratio from 1 mol N2. B: 3 mol corresponds to H2 consumed per mole of N2. D: 6 mol would require 3 mol N2.
Chemistry,Chemical Combination,20,The relative atomic mass of carbon is based on,the mass of a hydrogen atom,12C = 12,the average mass of all carbon isotopes,14C = 14,B,"By IUPAC convention, the relative atomic mass scale is based on 12C = 12 exactly. All other atomic masses are measured relative to this standard.","A: Historically hydrogen was used but the modern standard is 12C. C: The standard is the specific isotope 12C, not an average. D: 14C is a radioactive isotope not used as the standard."
Chemistry,Chemical Combination,21,"What mass of oxygen is required to completely burn 4g of hydrogen? (H = 1, O = 16)",16g,32g,8g,64g,B,"2H2 + O2 → 2H2O. 4g of H2 = 4/2 = 2 mol. From stoichiometry, 2 mol H2 requires 1 mol O2 = 32g.","A: 16g = 0.5 mol O2, insufficient for 2 mol H2. C: 8g = 0.25 mol O2, insufficient. D: 64g = 2 mol O2, which is double the required amount."
Chemistry,Chemical Combination,22,The law of definite proportions states that,elements combine in multiple whole-number ratios,a pure compound always contains the same elements in the same proportion by mass,gases react in simple whole-number volume ratios,mass is neither created nor destroyed in a chemical reaction,B,"Proust's Law (Law of Definite/Constant Proportions) states that a chemical compound always contains the same elements in the same fixed ratio by mass, regardless of the source or method of preparation.",A: This is the Law of Multiple Proportions (Dalton). C: This is Gay-Lussac's Law of Combining Volumes. D: This is the Law of Conservation of Mass.
Chemistry,Chemical Combination,23,"Calculate the number of molecules in 44g of CO2. (C = 12, O = 16, Avogadro's number = 6.02 × 10^23)",3.01 × 10^23,6.02 × 10^23,1.204 × 10^24,2.41 × 10^24,B,Molar mass of CO2 = 12 + 32 = 44g/mol. Moles = 44/44 = 1 mol. Number of molecules = 1 × 6.02 × 10^23 = 6.02 × 10^23.,A: 3.01 × 10^23 = 0.5 mol of CO2. C: 1.204 × 10^24 = 2 mol of CO2. D: 2.41 × 10^24 = 4 mol of CO2.
